Presuda,Priznao,Osudjivan,Materijalno_stanje,Izdrzavanje,Kajanje,Prethodni_porodicni_problemi,Tip_povrede,Korektno_drzanje,Osteceni_goni_krivicno,Imovinsko_pravni_zahtjev,Uracunljivost,Sa_umisljajem, Ne_daje_izdrzavanje, Obaveza_izdrzavanja_je_pravno_ustanovljena, Krsi_porodicne_obaveze, Upotrebio_silu_pretnju_ili_vodjen_pohlepom, Ugrozio_je_dobrobit_deteta, Vrsi_nasilje_u_porodici, Upotrebio_oruzje_ili_u_prisustvu_deteta, Prouzrokovao_tesku_povredu_ili_protiv_deteta, Clan_porodice_je_umro
K 56-21,TRUE,FALSE,Lose,TRUE,TRUE,FALSE,Lake,TRUE,FALSE,FALSE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
K 85-18,TRUE,TRUE,Lose,FALSE,TRUE,TRUE,Teske,TRUE,FALSE,FALSE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
K 91-22,FALSE,TRUE,Srednje,TRUE,FALSE,TRUE,Nema,TRUE,FALSE,FALSE,Uracunljiv,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
K 104-16,TRUE,FALSE,Lose,FALSE,TRUE,TRUE,Dusevne,TRUE,FALSE,FALSE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K 106-19,TRUE,TRUE,Lose,TRUE,TRUE,TRUE,Lake,TRUE,FALSE,FALSE,Smanjena uracunljivost,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
K 113-19,TRUE,TRUE,Srednje,TRUE,TRUE,TRUE,Lake,TRUE,FALSE,FALSE,Uracunljiv,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
K 113-21,TRUE,TRUE,Lose,TRUE,TRUE,TRUE,Lake,TRUE,FALSE,FALSE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
K 200-13,TRUE,FALSE,Lose,TRUE,TRUE,TRUE,Teske,TRUE,FALSE,FALSE,Uracunljiv,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
K 229-10,TRUE,TRUE,Srednje,TRUE,TRUE,FALSE,Lake,TRUE,FALSE,FALSE,Uracunljiv,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
K 264-11,TRUE,TRUE,Lose,TRUE,FALSE,FALSE,Lake,TRUE,FALSE,FALSE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
K 286-12,TRUE,TRUE,Lose,TRUE,TRUE,TRUE,Teske,TRUE,TRUE,FALSE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
K 408-10,TRUE,TRUE,Lose,TRUE,TRUE,TRUE,Dusevne,TRUE,FALSE,FALSE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K 27-18,TRUE,FALSE,Lose,TRUE,FALSE,TRUE,Dusevne,TRUE,TRUE,FALSE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K 29-16,TRUE,TRUE,Lose,TRUE,TRUE,TRUE,Lake,TRUE,FALSE,FALSE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
K 51-21,FALSE,TRUE,Srednje,FALSE,FALSE,TRUE,Dusevne,FALSE,TRUE,FALSE,Uracunljiv,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K 13-2015,TRUE,FALSE,Lose,TRUE,TRUE,TRUE,Nema,TRUE,FALSE,TRUE,Uracunljiv,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K 149-2019,TRUE,FALSE,Lose,TRUE,TRUE,TRUE,Nema,TRUE,FALSE,TRUE,Uracunljiv,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
K 320-2022,TRUE,FALSE,Lose,TRUE,TRUE,TRUE,Nema,TRUE,FALSE,TRUE,Uracunljiv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
K 430-2013,TRUE,FALSE,Lose,TRUE,TRUE,TRUE,Nema,TRUE,FALSE,TRUE,Uracunljiv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
K 606-2010,TRUE,FALSE,Dobro,TRUE,TRUE,FALSE,Nema,TRUE,FALSE,FALSE,Uracunljiv,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
G_001-2025,false,false,Dobro,true,false,true,Nema,false,false,false,Uracunljiv,false,false,true,false,false,false,false,false,false,false
